file,text,trigger,mention text (just a few words around the trigger),paragraph,sentiment,aspect,opinion words,notes,,,,
2018_Grain and Feed Annual_Dakar_Senegal_4-19-2018.txt,Post sources believe that farmers use mechanized farm equipment on about 60 percent of rice area in the SRV .,believe,Post sources believe that farmers use mechanized farm equipment on about 60 percent,"Post sources believe that farmers use mechanized farm equipment on about 60 percent of rice area in the SRV. Farm equipment rental companies provide services to farmers for land preparation and harvest. The cost to rent a rice combine harvester is either in-kind (18 percent of the harvest) or 125,000 CFA francs per HA. Tractors are rented at 25,000 CFA francs per HA. In the Casamance, most rice farmers do not own or rent modern farm equipment, and use hand tools for harvest.",UNDETERMINED,mechanized farm equipment,,,,,,
2013_Colen_RiceSenegalValuechains.txt,"Although studies show that urban consumers are willing to pay a higher price for good quality local rice , consumers in Dakar generally believe that local rice is of inferior quality ( Fall et al ., 2007 ) .",believe,in Dakar generally believe that local rice is of inferior quality (Fall et,"Rebuilding West Africa’s food potential406 There are two reasons for the low penetration of SRV rice in urban markets. First of all, as documented earlier, urban consumers prefer broken rice, sorted into categories of homogenous size and they value the cleanness and visual presentation of rice (Fall et al., 2007; Demont et al., forthcoming). In contrast, most of the local paddy rice is only transformed into milled rice at a small informal mill, but not cleaned and sorted (which rural women usually do at home) and it involves mainly intermediary and whole grain rice. Although studies show that urban consumers are willing to pay a higher price for good quality local rice, consumers in Dakar generally believe that local rice is of inferior quality (Fall et al., 2007). There clearly is a mismatch between the product demanded by the majority of Senegalese consumers and the product characteristics of domestic rice that is supplied to them.","POSITIVE, NEGATIVE","good quality local rice, local rice","willing to pay a higher price, inferior quality",,,,,
valueChain3_2016_USAID.txt,"According to Locafrique , they have been so successful in their activities that they have started to withdraw from lending in the Dagana area , as they believe the agricultural machinery leasing market there is saturated .",believe,", as they believe the agricultural machinery leasing market there is saturated.","Scaling Up of Sahel Rice Varieties in Senegal 34 PCE supported increased purchases of agricultural machinery through a partnership with Locafrique, a leasing company. Lease financing by Locafrique was available for combines, tractors, graders, and factory equipment. This was a major innovation as Locafrique was willing to make loans with the machinery itself as collateral. In interviews, Locafrique management said that they found that because of substantial excess demand for machinery services, most loans were relatively risk-free; they were successfully able to make such loans based on business plans and the character of the borrower. Locafrique has steadily expanded the size of its business. According to PCE, by 2014 it was supporting CFAF 1.6 billion (or around $3.4 million) in leasing credit, with additional applications currently in process of CFAF 3 billion ($6 million). According to Locafrique, they have been so successful in their activities that they have started to withdraw from lending in the Dagana area, as they believe the agricultural machinery leasing market there is saturated.",POSITIVE,activities,successful,,,,,
riceGrowing0_2009_Linares.txt,"What is significant , however , is that women unanimously believe their work to be profitable and well worth pursuing .",believe,that women unanimously believe their work to be profitable and well worth pursuing.,"These new efforts contribute to women’s independence and reaffirm gender equality while also being an important source of cash. Although it is difficult to estimate the exact revenues women derive from the sale of their product because they do not keep a record of the various transactions in which they are involved, I estimate that they earn between $75 and $150 per season, with some women making considerably more. What is significant, however, is that women unanimously believe their work to be profitable and well worth pursuing. With the earnings they make, they buy clothing for themselves and their children, necessary items for their kitchen, and rice for the daily meals, and also pay for the schooling of their numerous offspring. It should also be noted that onions, cabbage, and tomatoes, when not sold because they are slightly spoiled or insect-damaged, are consumed by members of the producer’s household or fed to their domestic animals. Hence, women’s gardens also nourish the family.","POSITIVE, POSITIVE","work, work","profitable, well worth pursuing",,,,,
valueChain2_Gemmill-Herren.txt,"Underlying the seemingly simple structure of the 5 According to Davidson ( 2015 ) Jola people have long depended on rice , and believe that their hard work in the rice paddies is part of a covenant with their supreme deity for which they are rewarded with rain rice paddy monoculture , in smallholder and family farmer fields systems , is a complex system of built-in natural controls .",believe,"rice, and believe that their hard work in the rice paddies is part","When irrigated rice is grown under organic conditions, it creates its own “agricultural ecosystem of unrivaled complexity” (Settle et al. 1996). Underlying the seemingly simple structure of the 5 According to Davidson (2015) Jola people have long depended on rice, and believe that their hard work in the rice paddies is part of a covenant with their supreme deity for which they are rewarded with rain rice paddy monoculture, in smallholder and family farmer fields systems, is a complex system of built-in natural controls. Food web interactions among insect pests of rice and their numerous natural enemies in paddy fields – in the absence of high pesticide applications can be very complex, often resulting in low but stable insect populations. In most early-season tropical rice fields, abundant populations of generalist predators can be found in (Settle et al. 1996). These generalist predators are likely to be supported, in the early season, by feeding on abundant populations of detritusfeeding and plankton-feeding insects, whose populations consistently peak and decline in the first third of the season. The abundance of alternative prey gives the predator populations a ""head start"" on later-developing pest populations, thus enabling them to strongly suppress pest populations and generally lend stability to rice ecosystems by decoupling predator populations from a strict dependence on herbivore populations. These and other observations support management strategies that promote the conservation of existing natural biological control through a major reduction in insecticide use, and the corresponding increase in habitat heterogeneity.",POSITIVE,rice,long depended on,,,,,
JICA-RI_WP_No.105.txt,"Our main aim was to determine if large-scale irrigation schemes are more efficient than small scale irrigation schemes , or at least that they are as efficient as small ones ; because it is widely believed that large-scale irrigation schemes are less efficient due to difficulties in irrigation management .",believed,it is widely believed that large-scale irrigation schemes are less efficient due to difficulties,"Our main aim was to determine if large-scale irrigation schemes are more efficient than small scale irrigation schemes, or at least that they are as efficient as small ones; because it is widely believed that large-scale irrigation schemes are less efficient due to difficulties in irrigation management. Thus, this study compared the efficiency of rice production between large-scale irrigation schemes and small-scale irrigation schemes using household data collected in the Senegal Ricer Valley. The regression analyses demonstrate that large-scale irrigation schemes are as efficient as small-scale irrigation schemes when we control for the quality of irrigation facilities. That is, the seemingly better performance of large-scale irrigation schemes in the Senegal River Valley mainly comes from better management of irrigation facilities at the scheme level. However, the small-scale irrigation schemes are heterogeneous since they include village-based collective irrigation schemes and private irrigation schemes. If we compare large-scale schemes with village-based small-scale ones only, the former perform better even after controlling for observed advantage. The results imply that village-based small-scale collective irrigation schemes have inherent problems in irrigation management. Thus, we conclude that a part of the reason for the high productivity in rice farming in the Senegal River Valley can be attributed to the advantage of large-scale irrigation schemes over small-scale schemes.",NEGATIVE,large-scale irrigation schemes,less efficient,,,,,
valueChain2_Gemmill-Herren.txt,"Having always believed that permanent flooding and mineral fertilizers such as NPK and Urea were essential for rice production , SRI has shown to producers that not only is it possible to produce rice without mineral fertilizers , but that they can at least double yields .",believed,Having always believed that permanent flooding and mineral fertilizers such as NPK and,"SRI, as a rice production technology, has demonstrated its value in comparison with control plots. The results have shown that it increased yields by 50 to 100% and often more, with a reduction in the amount of water, seeds and fertilizers used (AGRIDAPE, 2013). Having always believed that permanent flooding and mineral fertilizers such as NPK and Urea were essential for rice production, SRI has shown to producers that not only is it possible to produce rice without mineral fertilizers, but that they can at least double yields. This success, recorded on a relatively small scale within Senegal, has led to a great popularity of this system among the population in the experimental areas.",POSITIVE,SRI,double yields,,,,,
Rutsaert-Demont-Ndour-2009 copy.txt,"Secondly , this study is embedded in a larger framework of experimental value chain research , in which it is believed that competitiveness of the food sector in developing countries can be increased through collective value chain and generic promotion strategies exploiting , to a maximum extent , social capital and networks .",believed,which it is believed that competitiveness of the food sector in developing countries can,"Three strategic considerations led us to introduce collective interaction into our experiment. First, studies on group decisions revealed that groups significantly outperform individuals in the estimation of judgmental variables (Bonner, Sillito and Baumann 2007; Sniezek and Henry 1989). Given this bias argument, understanding the group estimation process is of clear relevance to social science and to organizations. Secondly, this study is embedded in a larger framework of experimental value chain research, in which it is believed that competitiveness of the food sector in developing countries can be increased through collective value chain and generic promotion strategies exploiting, to a maximum extent, social capital and networks. Finally, rice is the most important staple crop in Senegal and more important in relative terms to the poorest tercile of consumers than to the richest in urban areas (Reardon 1993). Food security and self-sufficiency are public goods and, hence, social normative processes in perceived quality and buying intentions (Obermiller and Spangenberg 1989) may be successfully deployed in generic promotion programs of local SRV rice.",UNDETERMINED,competitiveness of the food sector,,,,,,
valueChain2_Gemmill-Herren.txt,It is indeed necessary for farmers to stop believing that all the water entering their plot is used only for rice growth .,believing,farmers to stop believing that all the water entering their plot is used only,"Changing attitudes, while far from easy, seems to be the basis for significant improvements. It is indeed necessary for farmers to stop believing that all the water entering their plot is used only for rice growth.",NEGATIVE,all water entering their plot is used only for rice growth,necessary for farmers to stop believing,NOTE: Wasn't sure how to tackle this one because I think it's a negative sentiment toward's the farmer's belief... either we skip it or use aspect/opinions that aren't an exact match,,,,
1-s2.0-S0306919217307443-main.txt,Millers claimed to select producers mainly based on observable characteristics .,claimed,Millers claimed to select producers mainly based on observable characteristics.,"We first discussed the selection of farmers’ characteristics by rice millers. Millers claimed to select producers mainly based on observable characteristics. The distance between the farm and the miller determines participation in contracts because the millers’ collection radius is around 50 km. Moreover, the volume of supplies available from farmers matters for contracting companies (Barrett et al., 2012). Rice millers in Dagana département claimed to select producers and producer organizations on the basis of the irrigated area they farm. In this paper, we use the number of members of the producer organization as a proxy for the surface area farmed by the producer organization because part of the data about the surface area was missing. Contracting companies also select farms based on non-land assets (Reardon et al., 2009). Some millers stated that they prefer to purchase paddy from the wealthiest households with the highest number of active members and the most experience. A previous study of French beans in Senegal also identified the fact that ethnicity influenced participation in contracts (Maertens and Swinnen, 2009). One of the millers’ selection criteria less frequently cited in the literature is farmers’ access to warehouses, as it enables better control of the moisture rate. Nevertheless, millers reported that recent increases in the regional milling capacity and competition with traditional processors caused them to be less exacting with regard to these characteristics.",bad example,,,,,,,
1-s2.0-S0306919217307443-main.txt,Rice millers in Dagana d é partement claimed to select producers and producer organizations on the basis of the irrigated area they farm .,claimed,département claimed to select producers and producer organizations on the basis of,"We first discussed the selection of farmers’ characteristics by rice millers. Millers claimed to select producers mainly based on observable characteristics. The distance between the farm and the miller determines participation in contracts because the millers’ collection radius is around 50 km. Moreover, the volume of supplies available from farmers matters for contracting companies (Barrett et al., 2012). Rice millers in Dagana département claimed to select producers and producer organizations on the basis of the irrigated area they farm. In this paper, we use the number of members of the producer organization as a proxy for the surface area farmed by the producer organization because part of the data about the surface area was missing. Contracting companies also select farms based on non-land assets (Reardon et al., 2009). Some millers stated that they prefer to purchase paddy from the wealthiest households with the highest number of active members and the most experience. A previous study of French beans in Senegal also identified the fact that ethnicity influenced participation in contracts (Maertens and Swinnen, 2009). One of the millers’ selection criteria less frequently cited in the literature is farmers’ access to warehouses, as it enables better control of the moisture rate. Nevertheless, millers reported that recent increases in the regional milling capacity and competition with traditional processors caused them to be less exacting with regard to these characteristics.",bad example,,,,,,,
Soullier%20th%C3%A8se.txt,"All farmers consider that there are risks of low prices ( 3.72 ) , of seasonal fluctuations ( 3.81 ) and of a decline in quality between harvest and sale ( 3.59 ) .",consider,farmers consider,"A total of 32.1% of the paddy produced is self-consumed. This rate is lower in the case of contracted farms. Farmers involved in plural forms of governance sell around the two thirds of their paddy under contract and the remainder through spot transaction. Collective sales account for an average of 64% of paddy sold when considering all marketing modes. Individual sales account for slightly lower volumes under production contracts (31%) than under spot transactions (38.9%). All farmers consider that there are risks of low prices (3.72), of seasonal fluctuations (3.81) and of a decline in quality between harvest and sale (3.59).","NEGATIVE, NEGATIVE, NEGATIVE","low prices, seasonal fluctuations, decline in quality","risks, risks, risks",,,,,
Participatory_Assessment_of_Promising_Ri.txt,"They appreciated the participatory approach , which they consider an innovation that can enable them to participate from the beginning to the end of the selection process of new varieties and make proposals on improving agronomic characters .",consider,they consider,"As part of our survey, most farmers recognize that he never tested new varieties or lines as a partner and actor in a participatory and inclusive process. They just limited to use released varieties proposed by research, as downstream actor in the value chain. This is varieties Sahel 108, Sahel 201, Sahel 202 and IR 1529, and former introductions. They appreciated the participatory approach, which they consider an innovation that can enable them to participate from the beginning to the end of the selection process of new varieties and make proposals on improving agronomic characters.",POSITIVE,participatory approach,appreciated,,,,,
Soullier%20th%C3%A8se.txt,Certain researchers consider that there was an “ urban bias ” during the three last decades .,consider,researchers consider,"Dagana Department in the SRV was selected as the study area because it was the only location where technical changes among millers and new organizational devices were observed in 2014. The SRV is the core area of rice production in Senegal. It provided 80% of domestic production in 2014 (USDA, 2015). Some 45,000 family farmers are involved in rice production in the SRV (Gergely and Baris, 2009). At the scale of the region of Saint Louis which includes Dagana Department, 39.5% of households were poor in 2010 (ANSD, 2010). And 16.1% of households in Dagana Department were affected by food insecurity (WFP, 2014). More information about the rice VC and the study area is given based on the requirements of the research questions addressed in each chapter. 25 Data are available at http://data.worldbank.org/ Rice is a politically strategic product in West Africa because it is a major contribution to national food security. Since independence, government strategies aim at supplying rice at low prices to the population. Certain researchers consider that there was an “urban bias” during the three last decades. Indeed, little support was given to agricultural production, and the strategy was to import cheap rice for urban consumers, who make up the main part of voters (Bezemer and Headey, 2008). Policies implemented after the price crisis also purport to supplying low-cost rice, but now through modernization of the domestic rice chain.",UNDETERMINED,urban bias,,,,,,
134978-Article Text-362173-1-10-20160504.txt,"Respondents also consider the higher grain quality and good taste of the improved variety Sahel 202 as important , but cited problems of seed availability as a constraint to potential use .",consider,Respondents also consider,"Farmers’ perceptions the options for RICM Key informant interviews were conducted with sample farmers at each site to determine their perceptions of the component factors, and to identify positive attributes of options for RICM. The results are summarized in table 3 below. Components most appealing to farmers were: fertilizer and weed management, use of improved varieties and harvesting/post harvest technologies. In general, farmers attributed the superior performance of RICM to management factors. Application of urea in three splits is perceived to have a yield increasing effect, while use of basal phosphorus is perceived to affect high tillering and yield. The perceived positive attribute of herbicide use is its labor saving effect. However, only half of the respondents plan to use herbicides for weed control, citing the high cost of herbicides as the main reason. Farmers also indicated that where labor is not a major constraint in the household, the need for chemical weed control is minimal. Respondents also consider the higher grain quality and good taste of the improved variety Sahel 202 as important, but cited problems of seed availability as a constraint to potential use. Most farmers indicated they would reduce seeding rates to appropriate levels only when certified seed is available.","POSITIVE, POSITIVE, NEGATIVE","higher grain quality, good taste, problems of seed availability","important, important, constraint to potential use",,,,,
Participatory_Assessment_of_Promising_Ri.txt,"At Fanaye farmers prefer rather varieties with a medium or long cycle , which they consider more profitable because of better grain filling unlike the short-season varieties , which are characterized in this site by poor filling seeds .",consider,they consider,"Favorite varieties of small farmers Among the eight (8) best choice of small farmers, which are shown in Table 2, there was seven (7) intra-specific lines, and two (2) interspecific lines (WAS191-7-WAB-1-WAS-1, and WAS127-12-1-23). This shows that the farmers of the two sites (Ndiaye and Fanaye) are interested in these two types of lines especially intra-specific lines, including those from the series of WAS173, who presented the best average grain yields. The duration sowing maturity seems to be variously appreciated by sites. The farmers of the site Ndiaye, have far more privileged earliness while those of Fanaye area, chose the varieties with average cycle or a long cycle. Discussions with farmers highlighted a preference for early cycles in the delta (Ndiaye) unlike the peasants of the Middle Valley (Fanaye), which seem to opt for medium or long cycles. The Delta area is characterized by salinity of soil and seasonal temperature drops. Early varieties allow them to harvest before the November drops in temperature that reduce overwintering crop yields for longer cycles, and also to practice double cropping rice / rice. Precocity is also an advantage during the semi belated, hence their preference for short cycle varieties. At Fanaye farmers prefer rather varieties with a medium or long cycle, which they consider more profitable because of better grain filling unlike the short-season varieties, which are characterized in this site by poor filling seeds.","POSITIVE, POSITIVE, POSITIVE, NEGATIVE","varieties with a medium or long cycle, varieties with a medium or long cycle, varieties with a medium or long cycle, short-season varieties","prefer, more profitable, better grain filling, poor filling seeds",,,,,
riceGrowing0_2009_Linares.txt,"The presence of this local expert , and his European sponsor , have made it possible for the Katinong women to consider once again embarking on market-gardening activities .",consider,"sponsor, have made it possible for the Katinong women to consider","However, in 2009, the Linten women have a chance to make a common garden. To that end, they are pulling out the weeds from a 1-hectare parcel, to clear the area before the visit of a 21076 www.pnas.org cgi doi 10.1073 pnas.0910773106 Linares D ow nl oa de d at U ni ve rs ity o f F lo rid a on N ov em be r 10 , 2 02 local-born (and United States-educated) agronomist, who will bring a European with him. The presence of this local expert, and his European sponsor, have made it possible for the Katinong women to consider once again embarking on market-gardening activities. The agronomist and his companion had visited previously to talk with the women and hire a man to build an enclosure. The latter created only part of the enclosure and pocketed the rest of the money the European gave him. Dishonesty is one of the numerous hurdles that powerless women have to face. On this latter visit, however, the agronomist and his companion will verify that the parcel is clean before paying for a company to dig a well so that the women can water their vegetables. They will also hire another man to finish fencing the area, and keep a close eye on him that he does so.","UNDETERMINED, UNDETERMINED","local expert, European sponsor",,"NOTE: I think it's positive that women are embarking on market-gardening activities, but i don't necessarily think the sentence has a sentiment",,,,
"Clavel, Verger, Guetat pour HaL copy.txt","In particular , when women select varieties for their fields or gardens , they consider not only agronomic characteristics , but also those related to processing , storage , consumption and the health needs of family members and domestic animals .",consider,they consider,"In the present situation the research gaps found their causes in agricultural development policies shaped by postcolonial and neoliberal policies that have privileged certain groups and neglected other issues, in particular women in agriculture, conservation of agrobiodiversity (Ravera et al. 2016; Zimmerer and de Haan, 2019) and diversity of food habits (Raschke and Cheema, 2008; Guétat-Bernard and Ndami, 2019). Nevertheless, a gender lens is essential because peasant seed selection and food functions are connected with African gender social norms and division of labor which impact food practices and activities (Westholm and Ostwald, 2020). This invisibility and underestimation of the crucial role of rural women in the use and conservation of seeds was pointed out in particular by Patricia Howard (2003). This book documented extensively that the knowledge and use of plant biodiversity is genderdifferentiated everywhere. It defends the statement that gender perspective change our understanding of people-plant relationships in fundamental ways. In particular, when women select varieties for their fields or gardens, they consider not only agronomic characteristics, but also those related to processing, storage, consumption and the health needs of family members and domestic animals.",bad example,,,,,,,
1-s2.0-S1161030102000096-main.txt,The Mauritanian and Senegalese governments consider raising the quality of domestically produced rice as a prerequisite to improve its competitiveness vis à vis imports .,consider,Mauritanian and Senegalese governments consider,"PII: S1161 -0301 (02 )00009 -6 Wopereis et al. (1999) proposed to improve rice productivity and profitability by increasing N recovery (through improved crop management practices) or increasing the amount of N applied. Häfele et al. (2000, 2001) demonstrated the profitability of improved soil fertility and weed management for small and large scale rice farmers in Senegal and Mauritania. Another possibility to raise profitability would be to improve the quality of rice produced. Price differences in Senegal between low and high quality rice are huge. Whole grain American rice is sold in the Senegalese capital Dakar for 380 CFA1 kg−1, whole grain rice imported from India of lower quality (dark color, relative high percentage of impurities) sells for 190 CFA kg−1. Imported broken rice from Vietnam, Thailand, India, Pakistan and Argentina sells for 160–175 CFA kg−1. An estimated 350,000–450,000 t of rice is consumed annually in Senegal, of which 15,000 tons is whole grain rice. The Mauritanian and Senegalese governments consider raising the quality of domestically produced rice as a prerequisite to improve its competitiveness vis à vis imports. In Senegal, the national irrigation and extension authority for the Senegal River valley (SAED) has launched a rice quality program since 1998. Its objective is to increase production and value of locally produced rice.",POSITIVE,raising the quality of domestically produced rice,improve its competitiveness,,,,,
